,Title,Author(s),Number in Series,Series Title,Length of Series,Publication Month,Publication Day,Publication Year,Number of Pages,Genres,Similar Books,Rating,Number of Ratings,Number of 5-Star Ratings,Number of 4-Star Ratings,Number of 3-Star Ratings,Number of 2-Star Ratings,Number of 1-Star Ratings,Number of Reviews,Cover Image Tag,Synopsis
312,Mrs. Dalloway,Virginia Woolf,,,,May,14,1925,194,"Classics, Fiction, Literature, Novels, Feminism, British Literature, 20th Century, Literary Fiction, School, English Literature","The Hours by Michael Cunningham,, The Bell Jar by Sylvia Plath,, A Portrait of the Artist as a Young Man by James Joyce,, Madame Bovary by Gustave Flaubert,, Heart of Darkness by Joseph Conrad,, Dubliners by James Joyce,, Waiting for Godot by Samuel Beckett,, The Picture of Dorian Gray by Oscar Wilde,, Beloved by Toni Morrison,, Wide Sargasso Sea by Jean Rhys,, Wuthering Heights by Emily Brontë,, Northanger Abbey by Jane Austen,, Frankenstein: The 1818 Text by Mary Wollstonecraft Shelley,, Tess of the D'Urbervilles by Thomas Hardy,, Lolita by Vladimir Nabokov,, Persuasion by Jane Austen,, Ariel by Sylvia Plath,, A Room with a View by E.M. Forster",3.79,258263,79866,85934,61005,21955,9503,13157,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646148221l/14942._SY475_.jpg,"Heralded as Virginia Woolf's greatest novel, this is a vivid portrait of a single day in a woman's life. When we meet her, Mrs. Clarissa Dalloway is preoccupied with the last-minute details of party preparation while in her mind she is something much more than a perfect society hostess. As she readies her house, she is flooded with remembrances of faraway times. And, met w"
313,Mutiny on the Bounty,"Charles Bernard Nordhoff, James Norman Hall",1,The Bounty Trilogy,3,,19,1932,400,"Classics, Historical Fiction, Fiction, Adventure, Historical, Literature, Classic Literature, Maritime, Young Adult, Novels","তিথি by Shirshendu Mukhopadhyay,, The Begum's Fortune (Extraordinary Voyages, #18) by Jules Verne,, Captains Courageous by Rudyard Kipling,, Cleopatra by H. Rider Haggard,, The Far Land: 200 Years of Murder, Mania, and Mutiny in the South Pacific by Brandon Presser,, 3:34 a.m. (Henry Bins #4) by Nick Pirog,, 3:46 a.m. (Henry Bins #5) by Nick Pirog,, 3:21 a.m. (Henry Bins #3) by Nick Pirog,, The Nun's Story by Kathryn Hulme,, The City in the Sahara (Book 2 of the Barsac Mission) by Jules Verne,, Show Boat by Edna Ferber,, Swimming to the Top of the Tide by Patricia Hanlon,, Into the Niger Bend: Barsac Mission, Part 1 by Jules Verne,, River of Darkness: Francisco Orellana's Legendary Voyage of Death and Discovery Down the Amazon by Buddy Levy,, Blue Latitudes: Boldly Going Where Captain Cook Has Gone Before by Tony Horwitz,, Ivanhoe by Walter Scott,, The Pickwick Papers by Charles Dickens,, আদর্শ হিন্দু হোটেল by Bibhutibhushan Bandyopadhyay",4.00,14477,4967,5369,3431,579,131,298,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344266653l/844051.jpg,"MUTINY ON THE BOUNTY is the thrilling account of the strange, eventful, and tragic voyage of His Majesty's Ship Bounty in 1788-1789, which culminated in Fletcher Christian's mutiny against Captain Bligh."
314,My First Summer in the Sierra,John Muir,,,,,19,1911,160,"Nonfiction, Nature, Travel, Memoir, Classics, Adventure, Biography, History, Environment, Outdoors","Desert Solitaire by Edward Abbey,, A Sand County Almanac and Sketches Here and There by Aldo Leopold,, The Monkey Wrench Gang (Monkey Wrench Gang, #1) by Edward Abbey,, Thoughts from Walden Pond by Henry David Thoreau,, Eiger Dreams: Ventures Among Men and Mountains by Jon Krakauer,, The Whale and the Supercomputer: On the Northern Front of Climate Change by Charles Wohlforth,, Walden by Henry David Thoreau,, Basin and Range by John McPhee,, A Passion for Nature: The Life of John Muir by Donald Worster,, Earth Keeper: Reflections on the American Land by N. Scott Momaday,, Encounters with the Archdruid by John McPhee,, The End of Nature by Bill McKibben,, Silent Spring by Rachel Carson,, Death Wave (Star Quest Trilogy #2) by Ben Bova,, Almost Somewhere: Twenty-Eight Days on the John Muir Trail by Suzanne   Roberts,, The Panda's Thumb: More Reflections in Natural History by Stephen Jay Gould,, Savage Dreams: A Journey into the Landscape Wars of the American West by Rebecca Solnit,, The Woman Lit by Fireflies by Jim Harrison",4.08,5889,2204,2284,1113,229,59,485,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921750l/238727.jpg,"In the summer of 1869, John Muir, a young Scottish immigrant, joined a crew of shepherds in the foothills of California's Sierra Nevada Mountains. The diary he kept while tending sheep formed the heart of this book and eventually lured thousands of Americans to visit Yosemite country.First published in 1911,My First Summer in the Sierraincorporates the lyrical accounts a"
315,My Lai 4: A Report on the Massacre and Its Aftermath,Seymour M. Hersh,,,,,19,1970,210,"Nonfiction, History, War, Politics, American History, Journalism, Historical, Asia, Military Fiction, True Crime","Standard Operating Procedure by Philip Gourevitch,, The Rape of Nanking by Iris Chang,, The Man Without Qualities by Robert Musil,, Max und Moritz. Eine Bubengeschichte in sieben Streichen by Wilhelm Busch,, A Sunlit Weapon (Maisie Dobbs #17) by Jacqueline Winspear,, Goodbye, Darkness: A Memoir of the Pacific War by William Manchester,, Where Men Win Glory: The Odyssey of Pat Tillman by Jon Krakauer,, Fear: Trump in the White House by Bob Woodward,, The Death of a President: November 1963 by William Manchester,, Red Blood, Black Sand: with John Basilone on Iwo Jima by Chuck Tatum,, George B. McClellan: The Young Napoleon by Stephen W. Sears,, Murder on Marble Row (Gaslight Mystery, #6) by Victoria Thompson,, Rage by Bob Woodward,, Mom’s Favorite Reads eMagazine January 2021 by Goylake Publishing,, The Guns of August by Barbara W. Tuchman,, The Dirt: Confessions of the World's Most Notorious Rock Band by Neil Strauss,, Hi Five (IQ, #4) by Joe Ide,, The Little Locksmith by Katharine Butler Hathaway",3.81,458,149,143,115,32,19,25,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360298298l/309942.jpg,"The story of the Vietnam war atrocity as told by Pulitzer winning journalist Seymour M. Hersh who traveled more than 50,000 miles around the United States and interviewed nearly fifty members of Charlie Company to write this book."
316,My Life As Author And Editor,H.L. Mencken,,,,January,15,1995,449,"Nonfiction, Biography, Autobiography, Memoir, Writing, Classics, Literature, Journalism, Biography Memoir","The Skeptic: A Life of H. L. Mencken by Terry Teachout,, The Lincoln Highway by Amor Towles,, The Judge's List (The Whistler, #2) by John Grisham,, The Dark Hours (Renée Ballard, #4; Harry Bosch Universe, #35) by Michael Connelly,, Lady Killers: Deadly Women Throughout History by Tori Telfer,, Chasing Shadows: A Special Agent's Lifelong Hunt to Bring a Cold War Assassin to Justice by Fred    Burton,, Don't Lie to Me: And Stop Trying to Steal Our Freedom by Jeanine Pirro,, Crossroads by Jonathan Franzen,, Gender Trouble: Feminism and the Subversion of Identity by Judith Butler,, Finding Chandra: A True Washington Murder Mystery by Scott Higham,, The Devil's Rooming House: The True Story of America's Deadliest Female Serial Killer by M. William Phelps,, A Confederacy of Dunces by John Kennedy Toole,, Naked by David Sedaris,, Here Is New York by E.B. White,, To the Bridge by Nancy Rommelmann,, The Central Park Five: A Chronicle of a City Wilding by Sarah Burns,, Restless Souls: The Sharon Tate Family's Account of Stardom, the Manson Murders, and a Crusade for Justice by Alisa Statman,, All the Forgivenesses by Elizabeth Hardinger",3.73,179,63,47,39,17,13,8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266719774l/1109271.jpg,"After 35 years in a sealed vault, the autobiography of America's great social and literary critic at last comes to light. Full of revealing anecdotes and biting observations, these pages make abundantly clear why he was our greatest social commentator, and why he has had an enduring impact on American society and writing."
317,My Life in Orange: Growing Up with the Guru,Tim Guest,,,,January,1,2004,320,"Nonfiction, Memoir, Religion, Biography, Cults, Autobiography, Biography Memoir, Coming Of Age, Spirituality, Cult Classics","In the Sanctuary of Outcasts by Neil W. White III,, The Abode of Love: The Remarkable Tale of Growing Up in a Religious Cult by Kate Barlow,, The Imaginary Girlfriend by John Irving,, Under Wildwood (Wildwood Chronicles, #2) by Colin Meloy,, If Chins Could Kill: Confessions of a B Movie Actor by Bruce Campbell,, The Boy With the Thorn in His Side by Keith Fleming,, Solving Problems with Design Thinking: Ten Stories of What Works by Jeanne Liedtka,, The Holy Covenants: Living Our Sacred Temple Promises by Anthony Sweat,, 175 Temple Symbols and Their Meanings by Donald W. Parry,, The LDS Scriptures: Unabridged Complete King James Version Holy Bible /The Book of Mormon / Doctrine and Covenants / The Pearl of Great Price by The Church of Jesus Christ of Latter-day Saints,, The Problems of Work by L. Ron Hubbard,, The Mysteries of Godliness: A History of Mormon Temple Worship by David John Buerger,, No Good-byes: The Mysterious Disappearance of the McStay Family by Rick  Baker,, Death on Ocean Boulevard: Inside the Coronado Mansion Case by Caitlin Rother,, The Menendez Murders: The Shocking Untold Story of the Menendez Family and the Killings that Stunned the Nation by Robert Rand,, Traveling with Pomegranates: A Mother and Daughter Journey to the Sacred Places of Greece, Turkey, and France by Sue Monk Kidd,, Sprinting Through No Man's Land: Endurance, Tragedy, and Rebirth in the 1919 Tour de France by Adin Dobkin,, Ecstasy by Mary Sharratt",3.51,2388,527,670,787,298,106,177,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328874907l/180435.jpg,"At the age of six, Tim Guest was taken by his mother to a commune modeled on the teachings of the notorious Indian guru Bhagwan Shree Rajneesh. The Bhagwan preached an eclectic doctrine of Eastern mysticism, chaotic therapy, and sexual freedom, and enjoyed inhaling laughing gas, preaching from a dentist's chair, and collecting Rolls Royces.Tim and his mother were given Sa"
318,Myra Waldo's Travel And Motoring Guide To Europe,Myra Waldo,,,,,19,1978,,"Travel, Nonfiction, Reference",,2.89,9,2,0,4,1,2,1,https://s.gr-assets.com/assets/nophoto/book/blank-133x176-8b769f39ba6687a82d2eef30bdf46977.jpg,
319,My Sister's Keeper,Jodi Picoult,,,,April,6,2004,423,,"The Lovely Bones by Alice Sebold,, The Help by Kathryn Stockett,, The Time Traveler's Wife by Audrey Niffenegger,, The Notebook (The Notebook, #1) by Nicholas Sparks,, Water for Elephants by Sara Gruen,, The Secret Life of Bees by Sue Monk Kidd,, The Sisterhood of the Traveling Pants (Sisterhood, #1) by Ann Brashares,, Gone Girl by Gillian Flynn,, The Girl on the Train by Paula Hawkins,, Big Little Lies by Liane Moriarty,, The Memory Keeper's Daughter by Kim Edwards,, Me Before You (Me Before You, #1) by Jojo Moyes,, Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia by Elizabeth Gilbert,, The Kite Runner by Khaled Hosseini,, Fifty Shades of Grey (Fifty Shades, #1) by E.L. James,, Room by Emma Donoghue,, Memoirs of a Geisha by Arthur Golden,, A Walk to Remember by Nicholas Sparks",4.09,1134905,464059,399159,199187,51259,21241,34942,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369504683l/10917.jpg,"New York Timesbest-selling author Jodi Picoult is widely acclaimed for her keen insights into the hearts and minds of real people. Now she tells the emotionally riveting story of a family torn apart by conflicting needs and a passionate love that triumphs over human weakness.Anna is not sick, but she might as well be. By age 13 she has undergone countless surgeries, tran"
320,My Struggle,Karl Ove Knausgård,1,Min kamp,6,,,,,"Nonfiction, Memoir, Classics, Scandinavian Literature, Literature, Literary Fiction, Contemporary, Biography, Biography Memoir, Autobiography","Augustus by John  Williams,, Underground: The Tokyo Gas Attack and the Japanese Psyche by Haruki Murakami,, The Ultimate Evil: The Truth about the Cult Murders: Son of Sam and Beyond by Maury Terry,, The Nose by Nikolai Gogol,, On Directing Film by David Mamet,, Victory by Joseph Conrad,, String Theory: David Foster Wallace on Tennis by David Foster Wallace,, What Are We Doing Here? by Marilynne Robinson,, The Need for Roots: Prelude to a Declaration of Duties towards Mankind by Simone Weil,, An Ugly Truth: Inside Facebook's Battle for Domination by Sheera Frenkel,, The Greeks: A Global History by Roderick Beaton,, The Scandal of Holiness: Renewing Your Imagination in the Company of Literary Saints by Jessica Hooten Wilson,, Life and Fate by Vasily Grossman,, Jonathan Edwards by George M. Marsden,, Everyone Knows Your Mother Is a Witch by Rivka Galchen,, Mother by Maxim Gorky,, The Urge: Our History of Addiction by Carl Erik Fisher,, The Invention of Morel by Adolfo Bioy Casares",4.24,527,263,168,66,21,9,45,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522663788l/39323821.jpg,"From Book 1:My Struggle: Book Oneintroduces American readers to the audacious, addictive, and profoundly surprising international literary sensation that is the provocative and brilliant six-volume autobiographical novel by Karl Ove Knausgaard. It has already been anointed a Proustian masterpiece and is the rare work of dazzling literary originality that is intensely, ir"
321,The Naked and the Dead,Norman Mailer,,,,,19,1948,721,"Fiction, Classics, War, Historical Fiction, Literature, World War II, Novels, Banned Books, American, Military Fiction","From Here to Eternity by James  Jones,, The Wapshot Chronicle by John Cheever,, Elmer Gantry by Sinclair Lewis,, The Rainbow by D.H. Lawrence,, Point Counter Point by Aldous Huxley,, The Thin Red Line by James  Jones,, Women in Love by D.H. Lawrence,, Tobacco Road by Erskine Caldwell,, Look Homeward, Angel by Thomas Wolfe,, Ironweed by William  Kennedy,, Battle Cry by Leon Uris,, Finnegans Wake by James Joyce,, Better Than Sex: Confessions of a Political Junkie by Hunter S. Thompson,, Main Street by Sinclair Lewis,, Returning to Earth by Jim Harrison,, In The Company of Soldiers: A Chronicle of Combat In Iraq by Rick Atkinson,, Zuleika Dobson by Max Beerbohm,, Volokolamsk Highway by Aleksandr Bek",3.94,24332,7865,9466,5211,1280,510,896,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388181219l/12467.jpg,"Hailed as one of the finest novels to come out of the Second World War, The Naked and the Dead received unprecedented critical acclaim upon its publication and has since enjoyed a long and well-deserved tenure in the American canon. This fiftieth anniversary edition features a new introduction created especially for the occasion by Norman Mailer.Written in gritty, journali"
322,Naked Lunch,William S. Burroughs,,,,July,19,1959,289,,"Imperial Bedrooms by Bret Easton Ellis,, Last Exit to Brooklyn by Hubert Selby Jr.,, Lunar Park by Bret Easton Ellis,, The Cement Garden by Ian McEwan,, Skagboys (Mark Renton #1) by Irvine Welsh,, Brighton Rock by Graham Greene,, Less Than Zero by Bret Easton Ellis,, On the Road by Jack Kerouac,, The Girl Next Door by Jack Ketchum,, Invisible Monsters by Chuck Palahniuk,, The Elephant Tree by R.D. Ronald,, Lost in Yaba: Down and Out in Laos by Walt Gleeson,, No Country for Old Men by Cormac McCarthy,, The Trial by Franz Kafka,, Fear and Loathing in Las Vegas by Hunter S. Thompson,, The Long Walk by Richard Bachman,, Howl and Other Poems by Allen Ginsberg,, Pattaya Youtuber: And other true stories from Thailand by Walt Gleeson",3.45,86124,18955,25767,23643,10918,6841,4047,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407330990l/7437.jpg,"The book is structured as a series of loosely connected vignettes. Burroughs stated that the chapters are intended to be read in any order. The reader follows the narration of junkie William Lee, who takes on various aliases, from the U.S. to Mexico, eventually to Tangier and the dreamlike Interzone.The vignettes are drawn from Burroughs' own experiences in these places an"
323,The Name of the Rose,Umberto Eco,,,,,19,1980,536,"Fiction, Historical Fiction, Mystery, Classics, Historical, Literature, Italian Literature, Crime, Italy, Novels","The Ghost Moth (The Red Grouse Tales) by Leslie   Garland,, Eden: Biblical Fiction of the World's First Family by Brennan S. McPherson,, Heaven and Hell: A History of the Afterlife by Bart D. Ehrman,, The Good Man Jesus and the Scoundrel Christ by Philip Pullman,, Black: The Birth of Evil (The Circle, #1) by Ted Dekker,, Perfume: The Story of a Murderer by Patrick Süskind,, One Hundred Years of Solitude by Gabriel García Márquez,, The Pillars of the Earth (Kingsbridge, #1) by Ken Follett,, The Master and Margarita by Mikhail Bulgakov,, The Shadow of the Wind (The Cemetery of Forgotten Books, #1) by Carlos Ruiz Zafón,, Love in the Time of Cholera by Gabriel García Márquez,, El nombre de la rosa de Umberto Eco (Guía de lectura): Resumen y análisis completo by ResumenExpress.com,, Crime and Punishment by Fyodor Dostoevsky,, The Unbearable Lightness of Being by Milan Kundera,, The Key to The Name of the Rose: Including Translations of All Non-English Passages by Adele J. Haft,, The Three Musketeers (The D'Artagnan Romances, #1) by Alexandre Dumas,, Madame Bovary by Gustave Flaubert,, The Da Vinci Code (Robert Langdon, #2) by Dan Brown",4.13,332297,145555,113580,51461,14713,6988,10687,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415375471l/119073.jpg,"The year is 1327. Benedictines in a wealthy Italian abbey are suspected of heresy, and Brother William of Baskerville arrives to investigate. When his delicate mission is suddenly overshadowed by seven bizarre deaths, Brother William turns detective. His tools are the logic of Aristotle, the theology of Aquinas, the empirical insights of Roger Bacon—all sharpened to a glis"
324,The Namesake,Jhumpa Lahiri,,,,September,16,2003,291,"Fiction, India, Contemporary, Literary Fiction, Novels, Indian Literature, Literature, Book Club, Adult Fiction, Adult","The God of Small Things by Arundhati Roy,, The White Tiger by Aravind Adiga,, The Namesake: A Portrait of the Film Based on the Novel by Jhumpa Lahiri by Mira Nair,, The Palace of Illusions by Chitra Banerjee Divakaruni,, Train to Pakistan by Khushwant Singh,, The Inheritance of Loss by Kiran Desai,, Malgudi Days by R.K. Narayan,, A Thousand Splendid Suns by Khaled Hosseini,, A Suitable Boy (A Bridge of Leaves, #1) by Vikram Seth,, A Fine Balance by Rohinton Mistry,, Americanah by Chimamanda Ngozi Adichie,, Ghachar Ghochar by Vivek Shanbhag,, The Forest of Enchantments by Chitra Banerjee Divakaruni,, And the Mountains Echoed by Khaled Hosseini,, The Kite Runner by Khaled Hosseini,, Crying in H Mart by Michelle Zauner,, Sister of My Heart (Anju and Sudha #1) by Chitra Banerjee Divakaruni,, The Guide by R.K. Narayan",4.00,252174,82044,104520,52028,10782,2800,13265,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480106986l/33917._SY475_.jpg,"Jhumpa Lahiri'sInterpreter of Maladiesestablished this young writer as one the most brilliant of her generation. Her stories are one of the very few debut works -- and only a handful of collections -- to have won the Pulitzer Prize for fiction. Among the many other awards and honors it received were the New Yorker Debut of the Year award, the PEN/Hemingway Award, and the"
325,The Witch Tree Symbol,Carolyn Keene,33,Nancy Drew Mystery Stories,175,,19,1955,179,"Mystery, Fiction, Young Adult, Childrens, Classics, Juvenile, Middle Grade, Adventure, Mystery Thriller, Crime","Snow White and Rose Red by Jacob Grimm,, Rapunzel by Jacob Grimm,, White Rabbit by Caleb Roehrig,, The Red Trailer Mystery (Trixie Belden, #2) by Julie  Campbell,, While the Clock Ticked (The Hardy Boys, #11) by Franklin W. Dixon,, The Haunted Fort (Hardy Boys, #44) by Franklin W. Dixon,, The Witchmaster's Key (Hardy Boys, #55) by Franklin W. Dixon,, The Shore Road Mystery (The Hardy Boys, #6) by Franklin W. Dixon,, The Mystery Off Glen Road (Trixie Belden, #5) by Julie  Campbell,, A 2nd Helping of Chicken Soup for the Soul: 101 More Stories to Open the Heart and Rekindle the Spirit by Jack Canfield,, The Hostess with the Ghostess (A Haunted Guesthouse Mystery #9) by E.J. Copperman,, Murder Makes Waves (Southern Sisters, #4) by Anne George,, The Castle of Adventure (Adventure, #2) by Enid Blyton,, The Secret of the Old Mill (The Hardy Boys, #3) by Franklin W. Dixon,, Cult of Crime (Hardy Boys: Casefiles, #3) by Franklin W. Dixon,, The Twisted Claw (The Hardy Boys, #18) by Franklin W. Dixon,, A Three Book Problem (Sherlock Holmes Bookshop Mystery #7) by Vicki Delany,, The One and Only: A Maryellen Classic (American Girl: Maryellen #1) by Valerie Tripp",3.88,6109,1862,2058,1830,308,51,132,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459459034l/302874.jpg,"When a neighbor asks Nancy to accompany her to an old uninhabited mansion, she finds a witch tree symbol that leads her to Pennsylvania Dutch country in pursuit of a cunning and ruthless thief. The friendly welcome the girl sleuth and her friends receive from the Amish people soon changes to hostility when it is rumored that Nancy is a witch! Superstition helps her enemy i"
326,The Nanny Diaries,"Emma McLaughlin, Nicola Kraus",1,Nanny,2,March,13,2002,306,"Fiction, Chick Lit, Contemporary, Humor, Romance, Adult Fiction, Adult, Novels, New York, Realistic Fiction","The Devil Wears Prada (The Devil Wears Prada, #1) by Lauren Weisberger,, In Her Shoes by Jennifer Weiner,, Something Borrowed (Darcy & Rachel, #1) by Emily Giffin,, Good in Bed (Cannie Shapiro, #1) by Jennifer Weiner,, Confessions of a Shopaholic (Shopaholic, #1) by Sophie Kinsella,, Bridget Jones's Diary (Bridget Jones, #1) by Helen Fielding,, Divine Secrets of the Ya-Ya Sisterhood by Rebecca Wells,, Baby Proof by Emily Giffin,, The Sisterhood of the Traveling Pants (Sisterhood, #1) by Ann Brashares,, Love the One You're With by Emily Giffin,, Everyone Worth Knowing by Lauren Weisberger,, Can You Keep a Secret? by Sophie Kinsella,, The Undomestic Goddess by Sophie Kinsella,, P.S. I Love You (P.S. I Love You, #1) by Cecelia Ahern,, The Notebook (The Notebook, #1) by Nicholas Sparks,, Remember Me? by Sophie Kinsella,, Twenties Girl by Sophie Kinsella,, Queen of Babble (Queen of Babble, #1) by Meg Cabot",3.45,373806,69336,111605,127791,46275,18799,5413,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390018191l/228333.jpg,"Wanted: One young woman to take care of four-year-old boy. Must be cheerful, enthusiastic and selfless--bordering on masochistic. Must relish sixteen-hour shifts with a deliberately nap-deprived preschooler. Must love getting thrown up on, literally and figuratively, by everyone in his family. Must enjoy the delicious anticipation of ridiculously erratic pay. Mostly, must"
327,Native Son,Richard Wright,,,,,19,1940,504,"Fiction, Classics, Historical Fiction, African American, Race, Literature, Novels, School, Banned Books, American","America's Daughter (Dancing Soul Trilogy, #2) by Maria Nhambu,, Redefining Realness: My Path to Womanhood, Identity, Love & So Much More by Janet Mock,, Go Tell It on the Mountain by James Baldwin,, Eloquent Rage: A Black Feminist Discovers Her Superpower by Brittney Cooper,, Why Are All The Black Kids Sitting Together in the Cafeteria? by Beverly Daniel Tatum,, Their Eyes Were Watching God by Zora Neale Hurston,, When They Call You a Terrorist: A Black Lives Matter Memoir by Patrisse Khan-Cullors,, Heavy by Kiese Laymon,, Invisible Man by Ralph Ellison,, The Bluest Eye by Toni Morrison,, The New Jim Crow: Mass Incarceration in the Age of Colorblindness by Michelle Alexander,, Notes of a Native Son by James Baldwin,, The Angel of the Crows by Katherine Addison,, Beloved by Toni Morrison,, Song of Solomon by Toni Morrison,, Passing by Nella Larsen,, The Fire Next Time by James Baldwin,, The Awakening: Fate in Motion by Suzanne Boisvert",4.01,94126,34876,34800,17260,4784,2406,4361,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627788308l/15622._SY475_.jpg,"Right from the start, Bigger Thomas had been headed for jail. It could have been for assault or petty larceny; by chance, it was for murder and rape.Native Sontells the story of this young black man caught in a downward spiral after he kills a young white woman in a brief moment of panic.Set in Chicago in the 1930s, Wright's powerful novel is an unsparing reflection on t"
328,Nature's Metropolis: Chicago and the Great West,William Cronon,,,,March,1,1991,592,"History, Nonfiction, American History, Environment, Cities, Economics, Urban Planning, Nature, Urban, Urban Studies","Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed by James C. Scott,, Railroaded: The Transcontinentals and the Making of Modern America by Richard White,, Killing for Coal: America's Deadliest Labor War by Thomas G. Andrews,, Crabgrass Frontier: The Suburbanization of the United States by Kenneth T. Jackson,, How Buildings Learn: What Happens After They're Built by Stewart Brand,, Triumph of the City: How Our Greatest Invention Makes Us Richer, Smarter, Greener, Healthier and Happier by Edward L. Glaeser,, Reconstruction: America's Unfinished Revolution 1863-1877 by Eric Foner,, Cybernetic Revolutionaries: Technology and Politics in Allende's Chile by Eden Medina,, Plutopia: Nuclear Families, Atomic Cities, and the Great Soviet and American Plutonium Disasters by Kate Brown,, The Next Shift: The Fall of Industry and the Rise of Health Care in Rust Belt America by Gabriel Winant,, Empire of Cotton: A Global History by Sven Beckert,, The Good Soldier Švejk by Jaroslav Hašek,, Dispossessed Lives: Enslaved Women, Violence, and the Archive by Marisa J. Fuentes,, The Third Coast: When Chicago Built the American Dream by Thomas Dyja,, Radical Suburbs: Experimental Living on the Fringes of the American City by Amanda Kolson Hurley,, A Fortress in Brooklyn: Race, Real Estate, and the Making of Hasidic Williamsburg by Nathaniel Deutsch,, Silencing the Past: Power and the Production of History by Michel-Rolph Trouillot,, Nixonland: The Rise of a President and the Fracturing of America by Rick Perlstein",4.23,2988,1435,974,443,97,39,210,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327794569l/75243.jpg,"In this groundbreaking work, William Cronon gives us an environmental perspective on the history of nineteenth-century America. By exploring the ecological and economic changes that made Chicago America's most dynamic city and the Great West its hinterland, Mr. Cronon opens a new window onto our national past. This is the story of city and country becoming ever more tightl"
329,"Nervous System: Or, Losing My Mind in Literature",Jan Lars Jensen,,,,,20,2004,273,"Nonfiction, Memoir, Psychology, Mental Health, Biography, Literature, Books About Books, Mental Illness, Autobiography, Writing","Extraordinary Canadians: L.M. Montgomery by Jane Urquhart,, Louis Riel and Gabriel Dumont by Joseph Boyden,, Disappearing Earth by Julia  Phillips,, What Strange Paradise by Omar El Akkad,, The View from the Cheap Seats: Selected Nonfiction by Neil Gaiman,, The Alienist (Dr. Laszlo Kreizler, #1) by Caleb Carr,, Adult Children of Emotionally Immature Parents by Lindsay C. Gibson,, The Drowned World by J.G. Ballard,, Angela's Ashes (Frank McCourt, #1) by Frank McCourt,, One Crazy Summer (Gaither Sisters, #1) by Rita Williams-Garcia,, Wayward Girls and Wicked Women by Angela Carter,, Veni Vidi Vicious : A Viking Pride and Prejudice variation by Elin  Eriksen,, 10 Minutes 38 Seconds in This Strange World by Elif Shafak,, My Life in Orange by Tim Guest,, The Ogress and the Orphans by Kelly Barnhill,, Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape by Jenna Miscavige Hill,, Dreamland by Sarah Dessen,, M Is for Magic by Neil Gaiman",3.62,354,103,85,110,40,16,21,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440724945l/697542._SY475_.jpg,"Within the literature of madness, there has never been a memoir as wrenching and mordantly humorous as Jensen's. Terrifying yet tender, darkly humorous and deeply moving, Nervous System is a tale of literary madness like no other."
330,New Poems of Emily Dickinson,,,,,January,1,2015,136,"Poetry, Classics, Fiction, 19th Century, Literature","Rapunzel by Jacob Grimm,, The Unabridged Journals of Sylvia Plath by Sylvia Plath,, And Away... by Bob Mortimer,, Especimen by Eleonora Aldea Pardo,, The Celebrated Jumping Frog of Calaveras County by Mark Twain,, For the Wolf (Wilderwood, #1) by Hannah F. Whitten,, Breasts and Eggs by Mieko Kawakami,, ギヴン 1 [Given 1] by Natsuki Kizu,, The Layover by Lacie Waldon,, Joy by Etsuko,, JOY Second (Joy, #2) by Etsuko,, The Boy Who Fed on Nightmares by 조용,, 좀비 아이 by 조용,, A Night to Surrender (Spindle Cove, #1) by Tessa Dare,, Backyard Farming: Raising Chickens by Kim Pezza,, Graphic Classics 7: Bram Stoker-2nd Edition (Graphic Novels) by Tom Pomplun,, Backyard Chickens: Beyond the Basics by Pam Freeman,, Toddlers Are A**holes: It's Not Your Fault by Bunmi Laditan",4.08,1042,493,278,179,49,43,14,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348121749l/108128.jpg,"For most of her life Emily Dickinson regularly embedded poems, disguised as prose, in her lively and thoughtful letters. Although many critics have commented on the poetic quality of Dickinson's letters, William Shurr is the first to draw fully developed poems from them. In this remarkable volume, he presents nearly 500 new poems that he and his associates excavated from h"
